iter	Passed	Remaining
262	859	2408
263	862	2404
264	865	2400
265	868	2396
266	871	2392
267	874	2388
268	877	2384
269	880	2380
270	883	2377
271	886	2371
272	889	2368
273	892	2364
274	896	2362
275	898	2357
276	901	2353
277	904	2348
278	907	2344
279	910	2341
280	913	2338
281	917	2335
282	920	2332
283	922	2325
284	926	2323
285	929	2319
286	932	2315
287	934	2311
288	938	2309
289	941	2305
290	944	2302
291	947	2297
292	950	2292
293	954	2290
294	956	2286
295	960	2284
296	963	2280
297	966	2276
298	969	2272
299	972	2268
300	975	2265
301	978	2261
302	981	2258
303	985	2255
304	988	2251
305	991	2248
306	994	2245
307	997	2241
308	1000	2237
309	1004	2235
310	1008	2233
311	1011	2229
312	1014	2226
313	1017	2222
314	1020	2219
315	1023	2215
316	1026	2211
317	1029	2207
318	1032	2203
319	1035	2200
320	1038	2196
321	1041	2193
322	1045	2190
323	1047	2186
324	1051	2183
325	1054	2179
326	1057	2175
327	1060	2172
328	1064	2170
329	1067	2166
330	1069	2162
331	1072	2158
332	1075	2154
333	1078	2151
334	1081	2147
335	1085	2144
336	1088	2141
337	1091	2137
338	1094	2134
339	1097	2130
340	1101	2128
341	1104	2125
342	1107	2121
343	1110	2118
344	1113	2114
345	1117	2111
346	1119	2107
347	1122	2103
348	1125	2099
349	1128	2095
350	1131	2092
351	1134	2089
352	1137	2085
353	1140	2081
354	1143	2077
355	1146	2073
356	1149	2070
357	1152	2066
358	1154	2062
359	1157	2058
360	1160	2053
361	1163	2050
362	1166	2046
363	1169	2043
364	1172	2040
365	1175	2036
366	1178	2032
367	1181	2028
368	1184	2024
369	1186	2020
370	1190	2018
371	1193	2015
372	1196	2010
373	1199	2007
374	1202	2003
375	1204	1999
376	1207	1996
377	1210	1992
378	1213	1988
379	1217	1985
380	1220	1982
381	1223	1979
382	1226	1975
383	1228	1970
384	1231	1966
385	1234	1962
386	1237	1959
387	1239	1955
388	1242	1951
389	1245	1948
390	1248	1944
391	1251	1941
392	1254	1937
393	1257	1934
394	1260	1930
395	1263	1927
396	1266	1923
397	1269	1920
398	1273	1917
399	1276	1914
400	1278	1910
401	1281	1906
402	1284	1902
403	1288	1900
404	1290	1896
405	1293	1893
406	1296	1889
407	1300	1886
408	1303	1883
409	1305	1879
410	1308	1875
411	1311	1872
412	1315	1869
413	1318	1865
414	1320	1862
415	1323	1858
416	1326	1854
417	1329	1851
418	1332	1847
419	1335	1844
420	1338	1840
421	1341	1837
422	1344	1833
423	1347	1830
424	1350	1826
425	1352	1822
426	1355	1819
427	1359	1816
428	1362	1813
429	1365	1810
430	1368	1806
431	1370	1801
432	1373	1798
433	1376	1794
434	1379	1791
435	1381	1787
436	1384	1784
437	1387	1780
438	1390	1777
439	1393	1773
440	1396	1769
441	1399	1766
442	1401	1762
443	1405	1759
444	1408	1756
445	1411	1753
446	1413	1749
447	1416	1745
448	1420	1743
449	1423	1740
450	1426	1736
451	1430	1734
452	1433	1731
453	1436	1727
454	1440	1724
455	1442	1721
456	1446	1718
457	1449	1715
458	1452	1712
459	1455	1708
460	1458	1705
461	1461	1702
462	1464	1698
463	1467	1695
464	1470	1692
465	1473	1688
466	1476	1685
467	1479	1681
468	1482	1678
469	1486	1675
470	1489	1672
471	1491	1668
472	1494	1665
473	1497	1662
474	1500	1658
475	1504	1656
476	1507	1653
477	1510	1649
478	1513	1646
479	1516	1642
480	1519	1639
481	1522	1636
482	1525	1632
483	1528	1630
484	1531	1626
485	1534	1623
486	1537	1619
487	1540	1616
488	1543	1613
489	1546	1609
490	1550	1607
491	1553	1604
492	1557	1601
493	1560	1598
494	1565	1596
495	1568	1593
496	1571	1590
497	1574	1586
498	1576	1583
499	1580	1580
500	1583	1577
501	1586	1573
502	1589	1570
503	1592	1566
504	1595	1563
505	1598	1560
506	1601	1557
507	1604	1553
508	1607	1550
509	1610	1546
510	1613	1543
511	1616	1540
512	1619	1537
513	1622	1533
514	1625	1530
515	1628	1527
516	1631	1523
517	1634	1520
518	1637	1517
519	1640	1514
520	1643	1511
521	1647	1508
522	1650	1505
523	1653	1501
524	1655	1498
525	1658	1494
526	1661	1491
527	1664	1487
528	1667	1484
529	1669	1480
530	1672	1477
531	1677	1475
532	1680	1472
533	1682	1468
534	1685	1465
535	1688	1461
536	1691	1458
537	1694	1455
538	1697	1452
539	1700	1448
540	1704	1445
541	1707	1442
542	1710	1439
543	1712	1435
544	1715	1432
545	1719	1429
546	1722	1426
547	1725	1423
548	1728	1419
549	1731	1416
550	1734	1413
551	1737	1410
552	1740	1407
553	1743	1403
554	1746	1400
555	1749	1396
556	1752	1394
557	1755	1390
558	1758	1387
559	1761	1384
560	1764	1380
561	1767	1377
562	1770	1374
563	1773	1370
564	1776	1367
565	1779	1364
566	1783	1361
567	1785	1358
568	1788	1354
569	1791	1351
570	1794	1348
571	1797	1344
572	1800	1341
573	1803	1338
574	1806	1335
575	1810	1332
576	1813	1329
577	1816	1325
578	1819	1322
579	1822	1319
580	1825	1316
581	1828	1313
582	1831	1310
583	1834	1306
584	1837	1303
585	1840	1299
586	1843	1296
587	1846	1293
588	1849	1290
589	1852	1287
590	1855	1284
591	1858	1280
592	1860	1277
593	1863	1273
594	1866	1270
595	1869	1267
596	1873	1264
597	1875	1261
598	1878	1257
599	1881	1254
600	1884	1251
601	1887	1247
602	1890	1244
603	1893	1241
604	1896	1238
605	1899	1235
606	1902	1231
607	1905	1228
608	1908	1225
609	1911	1222
610	1914	1219
611	1917	1215
612	1920	1212
613	1923	1209
614	1926	1205
615	1929	1202
616	1931	1199
617	1934	1195
618	1937	1192
619	1940	1189
620	1943	1186
621	1946	1183
622	1949	1179
623	1952	1176
624	1955	1173
625	1958	1170
626	1961	1166
627	1963	1163
628	1966	1159
629	1969	1156
630	1972	1153
631	1975	1150
632	1978	1146
633	1981	1143
634	1983	1140
635	1986	1137
636	1989	1133
637	1992	1130
638	1995	1127
639	1998	1124
640	2001	1121
641	2004	1117
642	2007	1114
643	2010	1111
644	2013	1108
645	2017	1105
646	2020	1102
647	2023	1099
648	2026	1096
649	2029	1092
650	2033	1090
651	2036	1087
652	2040	1084
653	2043	1080
654	2046	1077
655	2049	1074
656	2052	1071
657	2056	1068
658	2059	1065
659	2062	1062
660	2065	1059
661	2068	1056
662	2071	1052
663	2074	1049
664	2078	1046
665	2081	1043
666	2084	1040
667	2087	1037
668	2091	1035
669	2094	1031
670	2097	1028
671	2100	1025
672	2104	1022
673	2107	1019
674	2110	1016
675	2114	1013
676	2117	1010
677	2120	1006
678	2122	1003
679	2125	1000
680	2128	997
681	2131	993
682	2134	990
683	2137	987
684	2140	984
685	2143	981
686	2146	978
687	2149	974
688	2152	971
689	2155	968
690	2158	965
691	2161	961
692	2164	958
693	2167	955
694	2170	952
695	2173	949
696	2176	946
697	2179	942
698	2182	939
699	2185	936
700	2188	933
701	2191	930
702	2193	926
703	2197	923
704	2200	920
705	2202	917
706	2205	914
707	2208	910
708	2211	907
709	2214	904
710	2217	901
711	2219	897
712	2223	894
713	2226	891
714	2229	888
715	2231	885
716	2234	882
717	2237	878
718	2240	875
719	2243	872
720	2246	869
721	2249	866
722	2252	862
723	2255	859
724	2258	856
725	2260	853
726	2263	850
727	2266	846
728	2269	843
729	2272	840
730	2275	837
731	2278	834
732	2281	830
733	2284	827
734	2287	824
735	2290	821
736	2293	818
737	2295	815
738	2299	812
739	2302	808
740	2304	805
741	2307	802
742	2310	799
743	2312	795
744	2316	792
745	2319	789
746	2322	786
747	2324	783
748	2327	780
749	2331	777
750	2333	773
751	2337	770
752	2340	767
753	2342	764
754	2345	761
755	2348	758
756	2351	754
757	2354	751
758	2357	748
759	2360	745
760	2363	742
761	2366	739
762	2369	736
763	2373	733
764	2376	729
765	2379	726
766	2381	723
767	2385	720
768	2388	717
769	2391	714
770	2394	711
771	2397	707
772	2400	704
773	2403	701
774	2406	698
775	2408	695
776	2411	692
777	2414	688
778	2417	685
779	2420	682
780	2423	679
781	2425	676
782	2428	673
783	2431	669
784	2434	666
785	2437	663
786	2440	660
787	2443	657
788	2446	654
789	2449	651
790	2452	647
791	2454	644
792	2458	641
793	2461	638
794	2464	635
795	2467	632
796	2470	629
797	2473	626
798	2476	622
799	2479	619
800	2481	616
801	2484	613
802	2487	610
803	2490	607
804	2493	603
805	2496	600
806	2499	597
807	2502	594
808	2506	591
809	2509	588
810	2512	585
811	2514	582
812	2518	579
813	2521	576
814	2524	572
815	2527	569
816	2530	566
817	2533	563
818	2536	560
819	2539	557
820	2542	554
821	2545	551
822	2548	548
823	2551	545
824	2554	541
825	2558	538
826	2561	535
827	2564	532
828	2568	529
829	2571	526
830	2574	523
831	2577	520
832	2580	517
833	2583	514
834	2586	511
835	2589	508
836	2593	504
837	2595	501
838	2598	498
839	2601	495
840	2604	492
841	2607	489
842	2610	486
843	2613	483
844	2617	480
845	2619	476
846	2623	473
847	2626	470
848	2629	467
849	2633	464
850	2636	461
851	2639	458
852	2642	455
853	2646	452
854	2649	449
855	2652	446
856	2655	443
857	2658	440
858	2661	436
859	2665	433
860	2667	430
861	2670	427
862	2673	424
863	2676	421
864	2680	418
865	2682	415
866	2686	412
867	2689	408
868	2692	405
869	2695	402
870	2698	399
871	2701	396
872	2704	393
873	2707	390
874	2710	387
875	2713	384
876	2717	381
877	2720	377
878	2723	374
879	2727	371
880	2730	368
881	2733	365
882	2735	362
883	2739	359
884	2741	356
885	2744	353
886	2747	349
887	2749	346
888	2752	343
889	2755	340
890	2758	337
891	2761	334
892	2764	331
893	2767	328
894	2770	325
895	2773	321
896	2776	318
897	2779	315
898	2782	312
899	2785	309
900	2788	306
901	2791	303
902	2794	300
903	2797	297
904	2800	293
905	2803	290
906	2806	287
907	2809	284
908	2812	281
909	2815	278
910	2818	275
911	2821	272
912	2823	269
913	2826	265
914	2830	262
915	2832	259
916	2835	256
917	2838	253
918	2841	250
919	2845	247
920	2848	244
921	2850	241
922	2853	238
923	2856	234
924	2860	231
925	2863	228
926	2866	225
927	2869	222
928	2872	219
929	2875	216
930	2877	213
931	2880	210
932	2884	207
933	2887	204
934	2890	200
935	2892	197
936	2895	194
937	2898	191
938	2901	188
939	2903	185
940	2906	182
941	2909	179
942	2913	176
943	2916	172
944	2918	169
945	2921	166
946	2924	163
947	2927	160
948	2930	157
949	2933	154
950	2936	151
951	2939	148
952	2942	145
953	2945	142
954	2948	138
955	2951	135
956	2954	132
957	2957	129
958	2960	126
959	2963	123
960	2966	120
961	2969	117
962	2972	114
963	2975	111
964	2978	108
965	2981	104
966	2984	101
967	2987	98
968	2990	95
969	2993	92
970	2996	89
971	2999	86
972	3002	83
973	3005	80
974	3008	77
975	3011	74
976	3014	70
977	3017	67
978	3020	64
979	3023	61
980	3025	58
981	3028	55
982	3031	52
983	3034	49
984	3037	46
985	3040	43
986	3043	40
987	3046	36
988	3049	33
989	3052	30
990	3055	27
991	3058	24
992	3061	21
993	3063	18
994	3066	15
995	3069	12
996	3072	9
997	3075	6
998	3077	3
999	3080	0
