iter	Logloss
0	0.6363418367
1	0.5862435953
2	0.5346057992
3	0.4843635645
4	0.4465473927
5	0.4019611516
6	0.3673568113
7	0.3342824917
8	0.3030875143
9	0.272766082
10	0.2506666382
11	0.2293741645
12	0.2084571236
13	0.1883166576
14	0.1701415077
15	0.1549481233
16	0.1434987177
17	0.131860627
18	0.1223543098
19	0.1127834357
20	0.1037427257
21	0.09660538669
22	0.09052989107
23	0.08356301151
24	0.07677297221
25	0.07036818381
26	0.06461973165
27	0.05952877504
28	0.05556898888
29	0.05163655691
30	0.04834912918
31	0.04531861641
32	0.04207648097
33	0.0392059227
34	0.03618300461
35	0.03405233935
36	0.03172608194
37	0.03041362246
38	0.02862767186
39	0.02712249328
40	0.02571334269
41	0.02415757573
42	0.02266524631
43	0.02130704112
44	0.01985263763
45	0.0185308607
46	0.0173119293
47	0.01640898016
48	0.01555116164
49	0.01482019497
50	0.01388321976
51	0.01324654329
52	0.01260912638
53	0.01190285505
54	0.01132891366
55	0.01074646624
56	0.01016963988
57	0.009711836328
58	0.009213317632
59	0.008804670327
60	0.008424567887
61	0.008079001969
62	0.007617209692
63	0.007292081348
64	0.007001039059
65	0.006714895835
66	0.006528346614
67	0.006265519108
68	0.00599025883
69	0.005772136992
70	0.005577286627
71	0.005385526279
72	0.005191166251
73	0.005002881871
74	0.004848897245
75	0.004715552603
76	0.004589840917
77	0.004442794618
78	0.004284797066
79	0.004217877202
80	0.004108386317
81	0.003955562644
82	0.003821686201
83	0.003736612468
84	0.00362118436
85	0.003525059061
86	0.003441286444
87	0.003361533414
88	0.003246420201
89	0.003150989282
90	0.003077667569
91	0.002987524466
92	0.002903410657
93	0.002844318026
94	0.00278327505
95	0.002713576928
96	0.00266666212
97	0.002586703667
98	0.002535532784
99	0.002481487391
100	0.002434901423
101	0.002394601809
102	0.002347379034
103	0.002297703776
104	0.002262479449
105	0.002226067216
106	0.002177920044
107	0.002130944901
108	0.002095101628
109	0.002051384945
110	0.002021741659
111	0.001992400244
112	0.001979318738
113	0.00194932432
114	0.001917194298
115	0.001895434433
116	0.001864126256
117	0.001830339672
118	0.001794200534
119	0.001788729089
120	0.001756650481
121	0.001756653591
122	0.001727320894
123	0.001714139007
124	0.001710151039
125	0.001689606669
126	0.001663781074
127	0.001646148222
128	0.001641760598
129	0.001637160089
130	0.001618859643
131	0.001588572568
132	0.001560569373
133	0.001535759343
134	0.001522218296
135	0.001503582382
136	0.001490057442
137	0.001468107774
138	0.001451476701
139	0.001451467186
140	0.001435834507
141	0.001414645223
142	0.001404138076
143	0.001381385336
144	0.001376394013
145	0.00136461559
146	0.001343255533
147	0.001330449638
148	0.001326443738
149	0.001305047736
150	0.001305047736
